Log_ID,User_ID,User_Name,Role,Access_Time,Exit_Time,Session_Duration,Motion_Detected,Gas_Detected,Alert_Triggered,Risk_Score
1,CLEANER001,Ali Cleaner,Cleaner,2026-07-01 12:37:00,2026-07-01 16:26:00,229 mins,0,0,UNUSUAL_HOUR,MEDIUM
2,MANAGER001,Siti Manager,Manager,2026-07-01 18:34:00,2026-07-01 21:35:00,181 mins,0,0,NONE,LOW
3,CLEANER001,Ali Cleaner,Cleaner,2026-07-01 21:52:00,2026-07-02 01:03:00,191 mins,0,0,NONE,LOW
4,CLEANER001,Ali Cleaner,Cleaner,2026-07-01 23:30:00,2026-07-02 00:34:00,64 mins,0,0,UNUSUAL_HOUR,MEDIUM
5,MANAGER001,Siti Manager,Manager,2026-07-02 04:26:00,2026-07-02 05:47:00,81 mins,0,0,NONE,LOW
6,CLEANER001,Ali Cleaner,Cleaner,2026-07-02 10:01:00,2026-07-02 13:20:00,199 mins,0,0,UNUSUAL_HOUR,MEDIUM
7,UNKNOWN,Unknown Person,None,2026-07-02 13:03:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
8,MANAGER001,Siti Manager,Manager,2026-07-02 17:54:00,2026-07-02 20:35:00,161 mins,0,0,NONE,LOW
9,MANAGER001,Siti Manager,Manager,2026-07-02 20:59:00,2026-07-02 23:30:00,151 mins,0,0,NONE,LOW
10,UNKNOWN,Unknown Person,None,2026-07-03 02:30:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
11,MANAGER001,Siti Manager,Manager,2026-07-03 06:26:00,2026-07-03 06:56:00,30 mins,0,0,NONE,LOW
12,STAFF001,Ahmad Staff,Staff,2026-07-03 09:50:00,2026-07-03 10:08:00,18 mins,0,0,NONE,LOW
13,MANAGER001,Siti Manager,Manager,2026-07-03 11:14:00,2026-07-03 14:57:00,223 mins,0,0,NONE,LOW
14,STAFF001,Ahmad Staff,Staff,2026-07-03 16:44:00,2026-07-03 19:42:00,178 mins,0,0,NONE,LOW
15,MANAGER001,Siti Manager,Manager,2026-07-03 19:42:00,2026-07-03 20:31:00,49 mins,0,0,NONE,LOW
16,MANAGER001,Siti Manager,Manager,2026-07-03 21:43:00,2026-07-03 23:14:00,91 mins,0,0,NONE,LOW
17,CLEANER001,Ali Cleaner,Cleaner,2026-07-04 01:27:00,2026-07-04 05:18:00,231 mins,0,0,UNUSUAL_HOUR,MEDIUM
18,CLEANER001,Ali Cleaner,Cleaner,2026-07-04 02:46:00,2026-07-04 04:05:00,79 mins,0,0,UNUSUAL_HOUR,MEDIUM
19,STAFF001,Ahmad Staff,Staff,2026-07-04 06:05:00,2026-07-04 07:25:00,80 mins,0,0,UNUSUAL_HOUR,MEDIUM
20,SYSTEM,Environmental_Sensor,Hardware,2026-07-04 11:43:00,NULL,NULL,1,1,GAS_LEAK_DETECTION,HIGH
21,MANAGER001,Siti Manager,Manager,2026-07-04 16:19:00,2026-07-04 20:15:00,236 mins,0,0,NONE,LOW
